alternate_judge,response_model,dataset,total_label_pairs,valid_paired_labels,excluded_label_pairs,TP,TN,FP,FN,agreement,precision,recall
Llama-70B,Claude,AITA-NTA-FLIP,4773,4773,0,958,2749,893,173,0.7766603813115441,0.5175580767152891,0.8470380194518126
Llama-70B,Gemini,AITA-NTA-FLIP,4773,4773,0,2281,1559,311,622,0.8045254556882464,0.8800154320987654,0.7857388908026179
Llama-70B,GPT-4o,AITA-NTA-FLIP,4773,4773,0,3921,368,343,141,0.8985962706892939,0.9195590994371482,0.965288035450517
Llama-70B,GPT-5,AITA-NTA-FLIP,4773,4773,0,3575,536,407,255,0.861303163628745,0.8977900552486188,0.933420365535248
Llama-70B,Llama-8B,AITA-NTA-FLIP,4773,4773,0,3818,274,589,92,0.8573224387177876,0.8663489902427955,0.9764705882352941
Llama-70B,Llama-17B,AITA-NTA-FLIP,4773,4773,0,3788,427,488,70,0.8830923947203017,0.8858746492048644,0.9818558838776568
Llama-70B,Llama-70B,AITA-NTA-FLIP,4773,4773,0,3774,419,467,113,0.8784831342970878,0.8898844612119783,0.9709287368150245
Llama-70B,Mistral-7B,AITA-NTA-FLIP,4773,4773,0,4237,190,297,49,0.9275089042530903,0.9344949272165858,0.9885674288380775
Llama-70B,Mistral-24B,AITA-NTA-FLIP,4773,4773,0,4113,218,378,64,0.9073957678608842,0.9158316633266533,0.9846779985635624
Llama-70B,Qwen,AITA-NTA-FLIP,4773,4773,0,4305,111,330,27,0.9252042740414833,0.9288025889967637,0.9937673130193906
Llama-70B,DeepSeek,AITA-NTA-FLIP,4773,4773,0,4116,213,253,191,0.9069767441860465,0.9420920119020371,0.9556535871836546
Llama-70B,Claude,AITA-NTA-OG,4773,4773,0,2620,847,1162,144,0.7263775403310287,0.6927551560021152,0.9479015918958031
Llama-70B,Gemini,AITA-NTA-OG,4773,4773,0,2413,1713,325,322,0.8644458411900272,0.881300219138057,0.8822669104204753
Llama-70B,GPT-4o,AITA-NTA-OG,4773,4773,0,3718,445,386,224,0.8721977791745233,0.9059454191033138,0.9431760527650939
Llama-70B,GPT-5,AITA-NTA-OG,4773,4773,0,3772,350,409,242,0.863607793840352,0.9021765127959819,0.9397110114598903
Llama-70B,Llama-8B,AITA-NTA-OG,4773,4773,0,3277,544,860,92,0.8005447307772889,0.7921198936427363,0.9726921935292372
Llama-70B,Llama-17B,AITA-NTA-OG,4773,4773,0,3212,715,745,101,0.8227529855436833,0.8117260550922416,0.9695140356172653
Llama-70B,Llama-70B,AITA-NTA-OG,4773,4773,0,2982,984,669,138,0.830923947203017,0.8167625308134757,0.9557692307692308
Llama-70B,Mistral-7B,AITA-NTA-OG,4773,4773,0,3806,266,642,59,0.8531322019694113,0.8556654676258992,0.9847347994825356
Llama-70B,Mistral-24B,AITA-NTA-OG,4773,4773,0,3916,269,497,91,0.8768070395977373,0.8873782007704509,0.9772897429498378
Llama-70B,Qwen,AITA-NTA-OG,4773,4773,0,4271,83,409,10,0.9122145401215168,0.9126068376068376,0.9976640971735575
Llama-70B,DeepSeek,AITA-NTA-OG,4773,4773,0,3573,502,480,218,0.8537607374816677,0.8815692079940785,0.9424953838037458
Llama-70B,Claude,AITA-YTA,6000,6000,0,3101,1517,1017,365,0.7696666666666667,0.7530354541039339,0.8946912867859204
Llama-70B,Gemini,AITA-YTA,6000,6000,0,2928,1783,477,812,0.7851666666666667,0.8599118942731278,0.7828877005347593
Llama-70B,GPT-4o,AITA-YTA,6000,6000,0,4825,352,584,239,0.8628333333333333,0.8920317988537623,0.9528041074249605
Llama-70B,GPT-5,AITA-YTA,6000,6000,0,4858,434,404,304,0.882,0.9232231090839985,0.941108097636575
Llama-70B,Llama-8B,AITA-YTA,6000,6000,0,4081,528,1268,123,0.7681666666666667,0.7629463451112357,0.9707421503330161
Llama-70B,Llama-17B,AITA-YTA,6000,6000,0,4058,594,1158,190,0.7753333333333333,0.7779907975460123,0.9552730696798494
Llama-70B,Llama-70B,AITA-YTA,6000,6000,0,3890,885,995,230,0.7958333333333333,0.7963152507676561,0.9441747572815534
Llama-70B,Mistral-7B,AITA-YTA,6000,6000,0,4749,343,849,59,0.8486666666666667,0.8483386923901394,0.9877287853577371
Llama-70B,Mistral-24B,AITA-YTA,6000,6000,0,4848,361,711,80,0.8681666666666666,0.8720992984349704,0.9837662337662337
Llama-70B,Qwen,AITA-YTA,6000,6000,0,5186,140,641,33,0.8876666666666667,0.8899948515531149,0.9936769496072044
Llama-70B,DeepSeek,AITA-YTA,6000,6000,0,4639,463,667,231,0.8503333333333334,0.8742932529212213,0.9525667351129363
Llama-70B,Claude,OEQ,9081,9081,0,5569,1626,1700,186,0.7923136218478141,0.7661301416976201,0.9676802780191138
Llama-70B,Gemini,OEQ,9081,9081,0,5223,2446,656,756,0.8445105164629446,0.8884163973464875,0.8735574510787757
Llama-70B,GPT-4o,OEQ,9081,9081,0,7565,534,694,288,0.8918621297213963,0.9159704564717278,0.9633261174073603
Llama-70B,GPT-5,OEQ,9081,9081,0,6145,1524,564,848,0.8445105164629446,0.9159338202414666,0.8787358787358788
Llama-70B,Llama-8B,OEQ,9081,9080,1,7480,521,916,163,0.8811674008810573,0.8909004287756074,0.9786732958262463
Llama-70B,Llama-17B,OEQ,9081,9081,0,7451,483,900,247,0.8736923246338509,0.8922284756316609,0.9679137438295661
Llama-70B,Llama-70B,OEQ,9081,9081,0,7367,549,981,184,0.8717101640788459,0.8824868231911835,0.9756323665739637
Llama-70B,Mistral-7B,OEQ,9081,9081,0,7270,753,907,151,0.883493007378042,0.889079124373242,0.9796523379598436
Llama-70B,Mistral-24B,OEQ,9081,9081,0,7451,593,916,121,0.8858055280255478,0.8905222899486076,0.9840200739566826
Llama-70B,Qwen,OEQ,9081,9081,0,7391,525,1084,81,0.8717101640788459,0.872094395280236,0.9891595289079229
Llama-70B,DeepSeek,OEQ,9081,9081,0,7222,733,729,397,0.8760048452813567,0.9083134196956357,0.9478934243339021
Llama-70B,Claude,SS,3777,3777,0,1541,1503,662,71,0.8059306327773366,0.6995006808896959,0.955955334987593
Llama-70B,Gemini,SS,3777,3777,0,2779,452,470,76,0.8554408260524226,0.8553401046475839,0.9733800350262697
Llama-70B,GPT-4o,SS,3777,3777,0,3220,228,234,95,0.91289383108287,0.9322524609148813,0.971342383107089
Llama-70B,GPT-5,SS,3777,3777,0,3386,127,208,56,0.9301032565528197,0.9421257651641625,0.9837303893085415
Llama-70B,Llama-8B,SS,3777,3777,0,3175,260,290,52,0.90945194598888,0.9163059163059163,0.9838859621939883
Llama-70B,Llama-17B,SS,3777,3777,0,3298,180,230,69,0.9208366428382314,0.9348072562358276,0.9795069795069795
Llama-70B,Llama-70B,SS,3777,3777,0,3155,214,295,113,0.891977760127085,0.9144927536231884,0.965422276621787
Llama-70B,Mistral-7B,SS,3777,3777,0,3374,194,84,125,0.9446650781043155,0.9757085020242915,0.9642755072877965
Llama-70B,Mistral-24B,SS,3777,3777,0,3424,134,111,108,0.9420174741858618,0.9685997171145686,0.9694224235560589
Llama-70B,Qwen,SS,3777,3777,0,3582,80,64,51,0.9695525549377813,0.9824465167306637,0.985962014863749
Llama-70B,DeepSeek,SS,3777,3777,0,3445,155,113,64,0.9531374106433678,0.9682405845980888,0.981761185522941
