Model evaluated,Agreement,Precision,Recall
Claude,-0.06436980706942685,-0.1226822036102585,-0.03375611080934271
DeepSeek,0.06230530911139276,0.11116218250980703,0.004307768924302846
GPT-4o,-0.0036459653569920203,0.01208316987053748,-0.02072454200363094
GPT-5,0.07984227573581182,0.13604855023600804,-0.02273580478648518
Gemini,0.11005914659907057,0.1946571124671107,-0.0421041071820778
Llama-17B,-0.017796085058442435,-0.01901610865445358,-0.010110300658245808
Llama-70B,0.0026615969581749166,0.011363173957273709,-0.015450651599380305
Llama-8B,-0.016497553075379368,-0.022325852294789117,-0.0033525701248154904
Mistral-24B,0.02167018729756376,0.03089133320690307,0.0008391146349521206
Mistral-7B,0.04656527249683151,0.053991989319092104,0.0014481343439842753
Qwen,0.01388677651035064,0.017273594248615298,0.0018995869591370562
