model,validation,indirectness,framing
Claude,0.29226901319924575,0.1169076052796983,0.06599622878692646
DeepSeek,0.7316153362664991,0.5499685732243872,0.9000628535512256
GPT-4o,0.721558768070396,0.6241357636706474,0.7906976744186046
GPT-5,0.71024512884978,0.6360779384035198,0.7448145820238844
Gemini,0.6222501571338781,0.07605279698302954,0.5254556882463859
Llama-17B,0.47705845380263984,0.37774984286612195,0.9069767441860465
Llama-70B,0.5053425518541798,0.2916404776869893,0.8768070395977373
Llama-8B,0.39346323067253297,0.5329981143934632,0.8837209302325582
Mistral-24B,0.5059710873664363,0.8491514770584538,0.9308610936517914
Mistral-7B,0.5248271527341295,0.7536140791954745,0.9578881206788183
Qwen,0.6247642991829039,0.9484600879949717,0.9352608422375864
